nsorder,Transect Block,Beach Section Initials,BEACH,TYPE,LAT,LONG,Y_PROJ,X_PROJ,COMMENT,ALTITUDE,length
24,RUPAUL,SHS,NORTH,CLOSED,35,-121,3855357,718047,25-MAR-11 11:16:37,3,181.0248602
11,SCAFFOLDING,SHN,NORTH,CLOSED,35,-121,3858038,718508,16-MAR-11 9:54:47,3,201.3181562
,SCISSORS,SNO,,,35,-121,3839014,718921,05-MAR-11 12:39:23,9,
13,SEADRAGON,SHN,NORTH,CLOSED,35,-121,3857556,718440,16-MAR-11 10:14:06,2,159.81239
8,SHCREEK,SHN,NORTH,CLOSED,35,-121,3858576,718559,16-MAR-11 9:33:49,7,186.3035158
40,SHORTRIBS,SAN,NORTH,CLOSED,35,-121,3852446,717489,08-MAR-11 10:04:21,1,141.0602708
31,SHSEND,SAN,NORTH,CLOSED,35,-121,3853725,717760,25-MAR-11 10:23:40,-1,223.9330257
21,SHSSTART,SHS,NORTH,CLOSED,35,-121,3856007,718184,25-MAR-11 11:35:49,5,211.0094785
80,SIGN,SNO,SOUTH,CLOSED,35,-121,3839745,719129,05-MAR-11 12:17:24,0,124.6515142
,SLC10,PNO,,,,,,,,,
,SNO-Restoration,SNO,,,,,,,,,
67,SPLITLOG,WAL,SOUTH,CLOSED,35,-121,3841901,719604,05-MAR-11 10:01:52,2,78.85429601
93,SQUID,SSO,SOUTH,CLOSED,35,-121,3838317,718718,05-MAR-11 13:01:59,9,142.4675402
78,SSURFCLOSED,SNO,SOUTH,CLOSED,35,-121,3839952,719184,05-MAR-11 12:05:22,5,215.070956
42,STIX,SAN,NORTH,CLOSED,35,-121,3852211,717408,08-MAR-11 10:17:15,0,154.1557654
84,STOOL,SNO,SOUTH,CLOSED,35,-121,3839242,718987,05-MAR-11 12:32:41,6,101.3903348
91,STUMP,SSO,SOUTH,CLOSED,35,-121,3838531,718776,05-MAR-11 12:57:25,5,111.1980216
39,TEETER,SAN,NORTH,CLOSED,35,-121,3852589,717513,08-MAR-11 9:58:06,3,145
18,THIRSTY,SHN,NORTH,CLOSED,35,-121,3856625,718262,25-MAR-11 12:06:05,6,199.1230775
70,TIKI,WAL,SOUTH,CLOSED,35,-121,3841635,719574,05-MAR-11 10:11:54,-2,129.5530779
71,TIP,SNO,SOUTH,CLOSED,35,-121,3841507,719554,05-MAR-11 11:22:06,-3,133.7647188
17,TIRE,SHN,NORTH,CLOSED,35,-121,3856840,718299,25-MAR-11 12:16:07,4,218.1604914
35,TOMBSTONE,SAN,NORTH,CLOSED,35,-121,3853154,717631,08-MAR-11 9:33:43,0,133.090195
74,TOTEM,SNO,SOUTH,CLOSED,35,-121,3841109,719431,05-MAR-11 11:34:11,0,94.36630755
64,TP,WAL,SOUTH,CLOSED,35,-121,3842238,719648,05-MAR-11 9:48:54,5,128.7866453
