survey_week,beach,species_type,total
2015-04-27,SOUTH,Gull,17
2015-04-27,SOUTH,Shorebird,1689
2015-05-04,NORTH,Gull,54
2015-05-04,NORTH,Shorebird,708
2015-05-04,PURISIMA,Gull,3
2015-05-04,PURISIMA,Shorebird,9
2015-05-11,NORTH,Gull,5
2015-05-11,NORTH,Shorebird,1930
2015-05-11,PURISIMA,Gull,5
2015-05-11,PURISIMA,Shorebird,175
2015-05-11,SOUTH,Gull,27
2015-05-11,SOUTH,Shorebird,1443
2015-05-11,SOUTH,Tern,5
2015-05-18,NORTH,Gull,7
2015-05-18,NORTH,Shorebird,169
2015-05-18,PURISIMA,Shorebird,14
2015-05-18,SOUTH,Shorebird,1067
2015-05-25,NORTH,Gull,104
2015-05-25,NORTH,Shorebird,114
2015-05-25,PURISIMA,Gull,5
2015-05-25,PURISIMA,Shorebird,11
2015-05-25,SOUTH,Gull,242
2015-05-25,SOUTH,Shorebird,310
2015-06-01,NORTH,Gull,221
2015-06-01,NORTH,Shorebird,137
2015-06-01,PURISIMA,Gull,5
2015-06-01,PURISIMA,Shorebird,18
2015-06-01,SOUTH,Gull,148
2015-06-01,SOUTH,Shorebird,213
2015-06-01,SOUTH,Tern,1
2015-06-08,NORTH,Gull,85
2015-06-08,NORTH,Shorebird,83
2015-06-08,PURISIMA,Gull,10
2015-06-08,PURISIMA,Shorebird,10
2015-06-08,SOUTH,Gull,86
2015-06-08,SOUTH,Shorebird,263
2015-06-08,SOUTH,Tern,7
2015-06-22,NORTH,Gull,1095
2015-06-22,NORTH,Shorebird,63
2015-06-22,PURISIMA,Gull,27
2015-06-22,PURISIMA,Shorebird,11
2015-06-29,SOUTH,Gull,61
2015-06-29,SOUTH,Shorebird,213
2015-06-29,SOUTH,Tern,5
2015-07-06,NORTH,Gull,2
2015-07-06,NORTH,Shorebird,75
2015-07-06,PURISIMA,Gull,1
2015-07-06,PURISIMA,Shorebird,12
2015-07-13,SOUTH,Gull,146
2015-07-13,SOUTH,Shorebird,419
2015-07-13,SOUTH,Tern,13
2015-07-20,NORTH,Gull,35
2015-07-20,NORTH,Shorebird,471
2015-07-20,PURISIMA,Gull,4
2015-07-20,PURISIMA,Shorebird,168
2015-07-27,SOUTH,Gull,289
2015-07-27,SOUTH,Shorebird,274
2015-07-27,SOUTH,Tern,4
2015-08-03,NORTH,Gull,8
2015-08-03,NORTH,Shorebird,139
2015-08-03,PURISIMA,Shorebird,205
2015-08-10,SOUTH,Gull,311
2015-08-10,SOUTH,Shorebird,498
2015-08-10,SOUTH,Tern,260
2015-08-17,NORTH,Gull,601
2015-08-17,NORTH,Shorebird,367
2015-08-17,NORTH,Tern,134
2015-08-17,PURISIMA,Shorebird,463
2015-08-24,SOUTH,Gull,113
2015-08-24,SOUTH,Shorebird,337
2015-08-24,SOUTH,Tern,1430
2015-08-31,NORTH,Gull,552
2015-08-31,NORTH,Shorebird,806
2015-08-31,NORTH,Tern,158
2015-08-31,PURISIMA,Shorebird,141
2015-09-07,SOUTH,Gull,66
2015-09-07,SOUTH,Shorebird,1072
2015-09-07,SOUTH,Tern,15
2015-09-14,NORTH,Gull,146
2015-09-14,NORTH,Shorebird,809
2015-09-14,NORTH,Tern,8
2015-09-14,PURISIMA,Shorebird,77
2015-09-21,SOUTH,Gull,2
2015-09-21,SOUTH,Shorebird,648
2015-10-19,NORTH,Gull,229
2015-10-19,NORTH,Shorebird,1702
2015-10-19,NORTH,Tern,59
2015-10-19,PURISIMA,Gull,4
